ep_number,video_id,video_url,title,speaker,subtitle_mode,lang,txt_path
146,t_P2pbceJaY,https://www.youtube.com/watch?v=t_P2pbceJaY,"Ação do Profissional de Ater #extensãorural #extensionistarural #aterdigital #agro #pandemia","Rede Aurora",auto,pt,"downloads/redeauroraater/#146 - Ação do Profissional de Ater #extensãorural #extensionistarural #aterdigital #agro #pandemia {Rede Aurora}.txt"
147,XUfPLiPdDmQ,https://www.youtube.com/watch?v=XUfPLiPdDmQ,"Início da Comunicação Digital #extensãorural #redeaurora #ater #agro","Rede Aurora",auto,pt,"downloads/redeauroraater/#147 - Início da Comunicação Digital #extensãorural #redeaurora #ater #agro {Rede Aurora}.txt"
1,I4oNUHecxRA,https://www.youtube.com/watch?v=I4oNUHecxRA,"O papel dos canais de Comunicação e das Fontes de Informação na Promoção de Inovações","Rodrigo Montalvão Ferraz",auto,pt,"downloads/redeauroraater/#001 - O papel dos canais de Comunicação e das Fontes de Informação na Promoção de Inovações {Rodrigo Montalvão Ferraz}.txt"
2,d2egoIki6MY,https://www.youtube.com/watch?v=d2egoIki6MY,"Agricultura Familiar e Agroecologia no Contexto Internacional","Andre Augusto Michelato Ghizelini",auto,pt,"downloads/redeauroraater/#002 - Agricultura Familiar e Agroecologia no Contexto Internacional {Andre Augusto Michelato Ghizelini}.txt"
3,XWWEGyi2lwM,https://www.youtube.com/watch?v=XWWEGyi2lwM,"Meu Imóvel Rural ferramenta para autonomia","Carlos Mário Guedes de Guedes - INCRA",auto,pt,"downloads/redeauroraater/#003 - Meu Imóvel Rural ferramenta para autonomia {Carlos Mário Guedes de Guedes - INCRA}.txt"
4,WLsLdgfN5JM,https://www.youtube.com/watch?v=WLsLdgfN5JM,"Extensão universitária para o desenvolvimento de destino de cicloturismo","Clarice Bastarz - UFPR",auto,pt,"downloads/redeauroraater/#004 - Extensão universitária para o desenvolvimento de destino de cicloturismo {Clarice Bastarz - UFPR}.txt"
5,767OxutU0I4,https://www.youtube.com/watch?v=767OxutU0I4,"O uso das redes sociais como ferramenta de aprendizagem junto aos agricultores familiares","Renato Antônio da Silva - Emater/RN",auto,pt,"downloads/redeauroraater/#005 - O uso das redes sociais como ferramenta de aprendizagem junto aos agricultores familiares {Renato Antônio da Silva - Emater-RN}.txt"
6,V2vmGx1j6Ck,https://www.youtube.com/watch?v=V2vmGx1j6Ck,"A experiência de formação em Extensão Rural e Agroecologia","Nina Paula Ferreira Laranjeira - UnB",auto,pt,"downloads/redeauroraater/#006 - A experiência de formação em Extensão Rural e Agroecologia {Nina Paula Ferreira Laranjeira - UnB}.txt"
7,buowq0S7-xE,https://www.youtube.com/watch?v=buowq0S7-xE,"Promovendo a digitalização inclusiva na Amazônia Paraense","Denis Rodrigues de Oliveira",auto,pt,"downloads/redeauroraater/#007 - Promovendo a digitalização inclusiva na Amazônia Paraense {Denis Rodrigues de Oliveira}.txt"
8,p8WNd6rhxno,https://www.youtube.com/watch?v=p8WNd6rhxno,"Ater pública frente à digitalização na agricultura: construção e perspectivas","Alice Alcântara",auto,pt,"downloads/redeauroraater/#008 - Ater pública frente à digitalização na agricultura- construção e perspectivas {Alice Alcântara}.txt"
9,Jz8QTrKGMMI,https://www.youtube.com/watch?v=Jz8QTrKGMMI,"O uso de redes sociais pela agricultura familiar para ampliar a comercialização","Livio Sergio Dias Claudino (Unifesspa) e Graciele dos Prazeres Pustilnik (UFRGS)",auto,pt,"downloads/redeauroraater/#009 - O uso de redes sociais pela agricultura familiar para ampliar a comercialização {Livio Sergio Dias Claudino (Unifesspa) e Graciele dos Prazeres Pustilnik (UFRGS)}.txt"
10,Ooht7sdX5Ts,https://www.youtube.com/watch?v=Ooht7sdX5Ts,"Avaliando os efeitos da Extensão Rural na produtividade em um sistema pluralista","Adauto B. Rocha Junior - Universidade de Missoure",auto,pt,"downloads/redeauroraater/#010 - Avaliando os efeitos da Extensão Rural na produtividade em um sistema pluralista {Adauto B. Rocha Junior - Universidade de Missoure}.txt"
11,ilfn593UOlw,https://www.youtube.com/watch?v=ilfn593UOlw,"Inteligência coletiva na Agricultura: como a IA fortalece a colaboração entre campo e laboratório","Carlos Catalão Alves - Nova FCSH",auto,pt,"downloads/redeauroraater/#011 - Inteligência coletiva na Agricultura- como a IA fortalece a colaboração entre campo e laboratório {Carlos Catalão Alves - Nova FCSH}.txt"
12,avCGvUHjBpc,https://www.youtube.com/watch?v=avCGvUHjBpc,"A linguagem clara como estratégia de extensão rural, em Portugal","Cristina Nobre Soares – Comunicação Clara de Ciência",auto,pt,"downloads/redeauroraater/#012 - A linguagem clara como estratégia de extensão rural, em Portugal {Cristina Nobre Soares – Comunicação Clara de Ciência}.txt"
13,EaI5702vijc,https://www.youtube.com/watch?v=EaI5702vijc,"Desafios da Extensão Rural Contemporânea","Thiago Vasconcelos Melo - UFVJM",auto,pt,"downloads/redeauroraater/#013 - Desafios da Extensão Rural Contemporânea {Thiago Vasconcelos Melo - UFVJM}.txt"
14,Z5IsArW1rho,https://www.youtube.com/watch?v=Z5IsArW1rho,"ATER Digital e Desenvolvimento Rural Sustentável: experiências do setor algodoeiro","Ingrid Zabaleta Chaustre",auto,pt,"downloads/redeauroraater/#014 - ATER Digital e Desenvolvimento Rural Sustentável- experiências do setor algodoeiro {Ingrid Zabaleta Chaustre}.txt"
15,KT7qnCzvdnc,https://www.youtube.com/watch?v=KT7qnCzvdnc,"Agricultura urbana: o caso exitoso de Maringá","Ednaldo Michellon – DAG/UEM",auto,pt,"downloads/redeauroraater/#015 - Agricultura urbana- o caso exitoso de Maringá {Ednaldo Michellon – DAG-UEM}.txt"
16,SXdCNI8zBQc,https://www.youtube.com/watch?v=SXdCNI8zBQc,"Transformando a Extensão Rural: Projeto Piloto Epagri e ATER+ Digital","Humberto Bicca Neto (EPAGRI)",auto,pt,"downloads/redeauroraater/#016 - Transformando a Extensão Rural- Projeto Piloto Epagri e ATER+ Digital {Humberto Bicca Neto (EPAGRI)}.txt"
17,uv9GJrGyjrs,https://www.youtube.com/watch?v=uv9GJrGyjrs,"Extensão universitária e sustentabilidade em rede: a experiência do assentamento rural Itamarati","Juliana Carrijo",auto,pt,"downloads/redeauroraater/#017 - Extensão universitária e sustentabilidade em rede- a experiência do assentamento rural Itamarati {Juliana Carrijo}.txt"
18,gvXA0MC-Oyc,https://www.youtube.com/watch?v=gvXA0MC-Oyc,"Construindo caminhos para a criação agroecológica de animais","Juliana Vieira Paz – Yamandú Agroecologia",auto,pt,"downloads/redeauroraater/#018 - Construindo caminhos para a criação agroecológica de animais {Juliana Vieira Paz – Yamandú Agroecologia}.txt"
19,bhRDIRkoLwE,https://www.youtube.com/watch?v=bhRDIRkoLwE,"Plataforma Ater+ Digital: Hubs desenvolvidos pela Embrapa Meio Ambiente","Luciano Lourenço Nass (Embrapa)",auto,pt,"downloads/redeauroraater/#019 - Plataforma Ater+ Digital- Hubs desenvolvidos pela Embrapa Meio Ambiente {Luciano Lourenço Nass (Embrapa)}.txt"
20,3I4kSaD1sNs,https://www.youtube.com/watch?v=3I4kSaD1sNs,"Uso das mídias digitais na ATER","Flavia Maria de Oliveira Ott (EPAGRI), Filipe Espíndola (EPAGRI) e Leandro Correia Ebert (EMATER/RS-Ascar)",auto,pt,"downloads/redeauroraater/#020 - Uso das mídias digitais na ATER {Flavia Maria de Oliveira Ott (EPAGRI), Filipe Espíndola (EPAGRI) e Leandro Correia Ebert (EMATER-RS-Ascar)}.txt"
21,GTeFj6ZTJ7Q,https://www.youtube.com/watch?v=GTeFj6ZTJ7Q,"Desenvolvimento rural em tempos de transformação: desafios e possibilidades","Cidonea Machado Deponti - UNISC",auto,pt,"downloads/redeauroraater/#021 - Desenvolvimento rural em tempos de transformação- desafios e possibilidades {Cidonea Machado Deponti - UNISC}.txt"
22,OrJJhkyK_d4,https://www.youtube.com/watch?v=OrJJhkyK_d4,"PAS Nordeste e as Redes Territoriais de ATER","Jose Humberto Oliveira - IICA",auto,pt,"downloads/redeauroraater/#022 - PAS Nordeste e as Redes Territoriais de ATER {Jose Humberto Oliveira - IICA}.txt"
23,4-fNOfi7AwU,https://www.youtube.com/watch?v=4-fNOfi7AwU,"Perspectivas digitais para a ATER: digitalização, letramento digital, autodeclaração e p. públicas","Mário Lucio de Avila - Programa de Pós-Graduação em Meio Ambiente e Desenvolvimento Rural (MADER-UnB)",auto,pt,"downloads/redeauroraater/#023 - Perspectivas digitais para a ATER- digitalização, letramento digital, autodeclaração e p. públicas {Mário Lucio de Avila - Programa de Pós-Graduação em Meio Ambiente e Desenvolvimento Rural (MADER-UnB)}.txt"
24,GP4ZtB5TmZQ,https://www.youtube.com/watch?v=GP4ZtB5TmZQ,"Semeando mensagens, colhendo diálogos: a comunicação rural e o uso do WhatsApp","Gabriel Arroyo - Universidade de Araraquara",auto,pt,"downloads/redeauroraater/#024 - Semeando mensagens, colhendo diálogos- a comunicação rural e o uso do WhatsApp {Gabriel Arroyo - Universidade de Araraquara}.txt"
25,OmEJCAXaBlg,https://www.youtube.com/watch?v=OmEJCAXaBlg,"Segurança Alimentar e Qualidade de Vida contribuições do Pila Verde e Pila Azul","Tiago Gorski Lacerda - Santiago/RS",auto,pt,"downloads/redeauroraater/#025 - Segurança Alimentar e Qualidade de Vida contribuições do Pila Verde e Pila Azul {Tiago Gorski Lacerda - Santiago-RS}.txt"
26,mxxvhRNuobQ,https://www.youtube.com/watch?v=mxxvhRNuobQ,"Caminhadas Internacional na Natureza Extensão Rural como protagonista do turismo","Monique Chaves – Emater/RS-Ascar",auto,pt,"downloads/redeauroraater/#026 - Caminhadas Internacional na Natureza Extensão Rural como protagonista do turismo {Monique Chaves – Emater-RS-Ascar}.txt"
27,upu1HEnvGRA,https://www.youtube.com/watch?v=upu1HEnvGRA,"Ações da Extensão Rural impactos das chuvas, cheias e estiagem no Rio Grande do Sul","Katiule Pereira Morais – Emater/RS-Ascar",auto,pt,"downloads/redeauroraater/#027 - Ações da Extensão Rural impactos das chuvas, cheias e estiagem no Rio Grande do Sul {Katiule Pereira Morais – Emater-RS-Ascar}.txt"
28,sTEJFU7Jmvg,https://www.youtube.com/watch?v=sTEJFU7Jmvg,"A cidadania alimentar para a transformação dos sistemas alimentares","Gustavo Pinto da Silva",auto,pt,"downloads/redeauroraater/#028 - A cidadania alimentar para a transformação dos sistemas alimentares {Gustavo Pinto da Silva}.txt"
29,n88jNHcE4bo,https://www.youtube.com/watch?v=n88jNHcE4bo,"A educação em saúde na prevenção da Cria Pútrida Americana","Miriam Sayuri Sassaki",auto,pt,"downloads/redeauroraater/#029 - A educação em saúde na prevenção da Cria Pútrida Americana {Miriam Sayuri Sassaki}.txt"
