ep_number,video_id,video_url,title,speaker,subtitle_mode,lang,txt_path
297,Yis97bvMAbo,https://www.youtube.com/watch?v=Yis97bvMAbo,"Cotrisel: crescimento com cooperação e propósito","O Extensionista",auto,pt,"downloads/oextensionista/#297 - Cotrisel- crescimento com cooperação e propósito {O Extensionista}.txt"
298,vjXGEPTFnno,https://www.youtube.com/watch?v=vjXGEPTFnno,"Segurança Alimentar e Qualidade de Vida: contribuições do Pila Verde e Pila Azul","Tiago Gorski Lacerda - Santiago/RS",auto,pt,"downloads/oextensionista/#298 - Segurança Alimentar e Qualidade de Vida- contribuições do Pila Verde e Pila Azul {Tiago Gorski Lacerda - Santiago-RS}.txt"
299,8UcBLiAn8LA,https://www.youtube.com/watch?v=8UcBLiAn8LA,"Conservação do Solo e da Água na Bacia do Guarda Mor","O Extensionista",auto,pt,"downloads/oextensionista/#299 - Conservação do Solo e da Água na Bacia do Guarda Mor {O Extensionista}.txt"
300,ICkQYDn26i0,https://www.youtube.com/watch?v=ICkQYDn26i0,"Caminhadas Internacional na Natureza: Extensão Rural como protagonista do turismo","Monique Chaves – Emater/RS-Ascar",auto,pt,"downloads/oextensionista/#300 - Caminhadas Internacional na Natureza- Extensão Rural como protagonista do turismo {Monique Chaves – Emater-RS-Ascar}.txt"
301,vj8DuLuprSo,https://www.youtube.com/watch?v=vj8DuLuprSo,"Ações da Extensão Rural: impactos das chuvas, cheias e estiagem no Rio Grande do Sul","Katiule Pereira Morais – Emater/RS-Ascar",auto,pt,"downloads/oextensionista/#301 - Ações da Extensão Rural- impactos das chuvas, cheias e estiagem no Rio Grande do Sul {Katiule Pereira Morais – Emater-RS-Ascar}.txt"
302,yIpFdD4QVus,https://www.youtube.com/watch?v=yIpFdD4QVus,"Abertura do 6º Dia de Campo da Advanced Farm 360  - Politécnico da UFSM","O Extensionista",auto,pt,"downloads/oextensionista/#302 - Abertura do 6º Dia de Campo da Advanced Farm 360 - Politécnico da UFSM {O Extensionista}.txt"
303,la_Ux7sSAY8,https://www.youtube.com/watch?v=la_Ux7sSAY8,"A cidadania alimentar para a transformação dos sistemas alimentares","Gustavo Pinto da Silva",auto,pt,"downloads/oextensionista/#303 - A cidadania alimentar para a transformação dos sistemas alimentares {Gustavo Pinto da Silva}.txt"
304,mrqG0QL2VVI,https://www.youtube.com/watch?v=mrqG0QL2VVI,"A educação em saúde na prevenção da Cria Pútrida Americana","Miriam Sayuri Sassaki",auto,pt,"downloads/oextensionista/#304 - A educação em saúde na prevenção da Cria Pútrida Americana {Miriam Sayuri Sassaki}.txt"
305,NrccyzEc8gs,https://www.youtube.com/watch?v=NrccyzEc8gs,"Avaliação do Balanço da PNATER 2023/2024 - DATER/MDA","Marcus Peixoto",auto,pt,"downloads/oextensionista/#305 - Avaliação do Balanço da PNATER 2023-2024 - DATER-MDA {Marcus Peixoto}.txt"
306,LS_gE4LJd0w,https://www.youtube.com/watch?v=LS_gE4LJd0w,"Ações com PCDs na Extensão Social","Flávia Maria de Oliveira Ott – Epagri",auto,pt,"downloads/oextensionista/#306 - Ações com PCDs na Extensão Social {Flávia Maria de Oliveira Ott – Epagri}.txt"
307,fyTuhKeG-_0,https://www.youtube.com/watch?v=fyTuhKeG-_0,"O Extensionista está ao vivo!","O Extensionista",auto,pt,"downloads/oextensionista/#307 - O Extensionista está ao vivo! {O Extensionista}.txt"
308,Cdae7jHURls,https://www.youtube.com/watch?v=Cdae7jHURls,"O Extensionista está ao vivo!","O Extensionista",auto,pt,"downloads/oextensionista/#308 - O Extensionista está ao vivo! {O Extensionista}.txt"
309,0sWBuPwVdO4,https://www.youtube.com/watch?v=0sWBuPwVdO4,"O Extensionista está ao vivo!","O Extensionista",auto,pt,"downloads/oextensionista/#309 - O Extensionista está ao vivo! {O Extensionista}.txt"
310,3iX5EMBSKko,https://www.youtube.com/watch?v=3iX5EMBSKko,"Sistema Asbraer para formação de extensionistas e uso de tecnologia no campo","Luciano Brandão – Asbraer",auto,pt,"downloads/oextensionista/#310 - Sistema Asbraer para formação de extensionistas e uso de tecnologia no campo {Luciano Brandão – Asbraer}.txt"
311,ipMIaPaLWqU,https://www.youtube.com/watch?v=ipMIaPaLWqU,"Desafios e oportunidades da produção orgânica na agricultura familiar","Gilmar Francisco Vione – Emater/RS-Ascar",auto,pt,"downloads/oextensionista/#311 - Desafios e oportunidades da produção orgânica na agricultura familiar {Gilmar Francisco Vione – Emater-RS-Ascar}.txt"
312,ND_TG0bWhn8,https://www.youtube.com/watch?v=ND_TG0bWhn8,"Impacto do Projeto Caminhadas na Natureza","O Extensionista",auto,pt,"downloads/oextensionista/#312 - Impacto do Projeto Caminhadas na Natureza {O Extensionista}.txt"
313,L9kkqp9ZlcM,https://www.youtube.com/watch?v=L9kkqp9ZlcM,"Homeopatia como ferramenta de saúde e qualidade de vida no campo","Doriana Gozzi Miotto – Emater/RS-Ascar",auto,pt,"downloads/oextensionista/#313 - Homeopatia como ferramenta de saúde e qualidade de vida no campo {Doriana Gozzi Miotto – Emater-RS-Ascar}.txt"
314,owBjyajO1LY,https://www.youtube.com/watch?v=owBjyajO1LY,"Tecnologia da Informação e Agricultura Familiar: potências e desafios","Mauricio Leonard de Souza – UFOP",auto,pt,"downloads/oextensionista/#314 - Tecnologia da Informação e Agricultura Familiar- potências e desafios {Mauricio Leonard de Souza – UFOP}.txt"
315,ydsS9JJLkkg,https://www.youtube.com/watch?v=ydsS9JJLkkg,"Metodologias participativas na Extensão Rural no contexto do Semiárido Brasileiro","Helder Ribeiro Freitas – UNIVASF",auto,pt,"downloads/oextensionista/#315 - Metodologias participativas na Extensão Rural no contexto do Semiárido Brasileiro {Helder Ribeiro Freitas – UNIVASF}.txt"
316,CiGv8RnEq0Q,https://www.youtube.com/watch?v=CiGv8RnEq0Q,"A construção do conhecimento em ATER feminista e agroecológica no Nordeste do Brasil","Laeticia Medeiros Jalil - UFRPE -  Serra Talhada",auto,pt,"downloads/oextensionista/#316 - A construção do conhecimento em ATER feminista e agroecológica no Nordeste do Brasil {Laeticia Medeiros Jalil - UFRPE - Serra Talhada}.txt"
317,2-w4-xUY3Ms,https://www.youtube.com/watch?v=2-w4-xUY3Ms,"Plano de vida rural: ATER digital e inovações em negócios de impacto socioambiental","Sebastião Pereira de Faria Júnior – MDS Saúde Animal",auto,pt,"downloads/oextensionista/#317 - Plano de vida rural- ATER digital e inovações em negócios de impacto socioambiental {Sebastião Pereira de Faria Júnior – MDS Saúde Animal}.txt"
318,t8MX3ZO4_z8,https://www.youtube.com/watch?v=t8MX3ZO4_z8,"Experiência de ater de qualidade na pandemia","Diego Adilio da Silva – EPAGRI/SC",auto,pt,"downloads/oextensionista/#318 - Experiência de ater de qualidade na pandemia {Diego Adilio da Silva – EPAGRI-SC}.txt"
319,HpUiY1uGBdE,https://www.youtube.com/watch?v=HpUiY1uGBdE,"Continuidade ou fim da Extensão Rural pública? Um cenário de disputas","Marines Rosali Bock – EMATER/RS-ASCAR",auto,pt,"downloads/oextensionista/#319 - Continuidade ou fim da Extensão Rural pública- Um cenário de disputas {Marines Rosali Bock – EMATER-RS-ASCAR}.txt"
320,rsego0ZhKQA,https://www.youtube.com/watch?v=rsego0ZhKQA,"A Escola Família Agrícola e sua contribuição para o desenvolvimento do Campo","Adair Pozzebon – EFASC",auto,pt,"downloads/oextensionista/#320 - A Escola Família Agrícola e sua contribuição para o desenvolvimento do Campo {Adair Pozzebon – EFASC}.txt"
321,HDYSSPpeJSc,https://www.youtube.com/watch?v=HDYSSPpeJSc,"Ações de extensão e o impacto das ferramentas digitais","Cláudia Bernardini – EMATER/RS",auto,pt,"downloads/oextensionista/#321 - Ações de extensão e o impacto das ferramentas digitais {Cláudia Bernardini – EMATER-RS}.txt"
